_id,username,current_document,query,check_one_gold,check_one_gold_reason,_golden
ObjectId(5a2a5e23e007d23be0ebdd0b),XCD8FL,"GMAT prep classes are essential when preparing yourself for the gmat exam or test. the preparation for the exam might be terrifying when doing it without any help from prep classes to be well prepared.
Preparation classes for GMAT are available in many languages and levels so you can find the one that suits you best. GMAT prep class can prepare you well for the test when taking the right path for you to study for this exam.
Prep classes are also available for other exams and tests rather than the Gmat, for example, SAT. Classes for preparing yourself for any kind of exam, studying in a study group rather than sitting alone in your room. GMAT is an example of a test that requires a lot of prep classes before taking it because you need a specific way of thinking.
In conclusion, GMAT prep classes are crucial for you as a student.",gmat prep classes,,,
ObjectId(5a2a5e23e007d23be0ebdd0c),XCD8FL,"PS 2 games can be discovered at any shop worldwide. play-station 2 is very famous and popular and there are a lot of games you can play alone or with friends. PS 2 or PlayStation 2 games gathered their popularity recently when Sony released a new PS console for gaming.
CheatCodes.com has more content than others to help you win all PlayStation 2 (PS2) games!
With thousands of cheats, hints and guides for PS2 games, we cover a wide range of racing, first person shooter, sporting games, and action games -- to ensure you can play your games the way you've always imagined.
Even though games are no longer actively produced for the PlayStation 2, CheatCodes.com posts tips and hints for all PlayStation games... including those that cross over from PS2 to PlayStation 3, or maybe that you used to play on your original PlayStation system.
Choose the starting letter for the PS 2 game you're looking.
",ps 2 games,,,
ObjectId(5a2a5e23e007d23be0ebdd0d),63ZBKE,"An elliptical trainer or cross-trainer is a stationary exercise machine which combines the motion of stair stepping with cross-country skiing. The elliptical simulates stair climbing, walking or running without causing excessive pressure to the joints, hence decreasing the risk of impact injuries.
People are increasingly looking to elliptical workouts as a safe way to get fantastic cardio exercise, to help lose excess weight, and to tone up the entire body. The elliptical trainers offer a workout that can vary from low to high intensity based on the speed and resistance the trainee sets.
Many elliptical trainers use alternating push/pull resistance bars to add an upper body workout as you stride. The pedals can also be reversed (backward stride), which not only works the muscles in a slightly different manner but allows some variation in your workout.
",elliptical trainer,,,
ObjectId(5a2a5e23e007d23be0ebdd0e),63ZBKE,"If you're looking to increase home security and keep unwanted critters from your home, a fence can help get the job done. A few of the most popular fences include privacy, picket, split rail and basket weave. The fence can be made from different materials ranging from wood to vinyl, aluminum to wrought iron. Before you begin, research the fencing guidelines in your area regarding fence building. ""EZ Fence 2 Go"" fencing system is the easiest way to get the fence of your dreams on your terms. A new generation of do-it-yourself fence kits with easy self-assembly instructions make enclosing your back yard and garden an effortless task. It couldn't be simpler to transform your yard! The Fence Authority offers the ""EZ Fence 2 Go"" system in both vinyl and aluminum. For those of you who are looking for more rustic option, we also offer fences-to-go kits in wood. ",build fence,,,
ObjectId(5a2a5e23e007d23be0ebdd0f),63ZBKE,"Preparing for the GMAT exam takes time and effort, but with a sound study plan, you can get the score you want. Smart test takers approach the test with a solid plan and execute on that plan. They get the most out of practice tests and resources, understand how they learn, and stay positive. Just remind yourself that you have what it takes! Like any important goal, preparation and hard work pay off.  The following steps will help you plan a course toward your best GMAT.  Firstly, determine when you plan to attend a Graduate Business Program and check the GMAT requirements for the schools you wish to apply. Register for the GMAT exam and develop a study plan. Proceed establishing your skills baseline by taking a practice exam. Now, start studying and design a personal study plan. Assess your progress and continue studying. Finally, prepare for your test day.",gmat prep classes,,,
ObjectId(5a2a5e23e007d23be0ebdd16),Z3R3GE,"PlayStation2 launched in 2000, PS2 marked an evolution in home console gaming, set a new standard for players and developers alike and introduced some of the features that still define the PlayStation experience today. According to figures released today by Sony, since launch, PS2 sold over 155 million consoles worldwide and had almost 4,000 games released up to late 2013, making it the highest selling and most played console of all time. Sony managed to lock in exclusive deals to publish big games exclusive releases from popular gaming franchises like Rockstar Games/Take-Two's Grand Theft Auto, Square's Final Fantasy and Konami's Metal Gear. Those deals proved hugely important keeping gamers on Sony's platform. That's way more PS2 consoles than any other video game system still on the market. As well as great games, PS2 boated the birthplace of online gaming, high definition graphics and an integrated DVD player.",ps 2 games,,,
ObjectId(5a2a5e23e007d23be0ebdd19),9Y4LMH,"

Internet phone services utilize a technology called ""packet switching"". this technology is called voip. You can make free internet phone! There are many free internet phone services that let you make phone calls: Skype, Viber, Whatsapp, etc.. The phone call services are listed below: PC to phone: you can place a call from your computer to a real telephone number. App to phone software: make free internet calls from a mobile device to a real number. allows you to have phone calls to any number, even landlines and mobile phones that aren't using the app. PC to PC internet: the computer provide a phone call to another computer. App to app services: run on mobile devices and results in phone calls that can only work if the recipient has the same application installed. This method can not be used to call landlines or other mobile phones without designated software.
",internet phone service,,,
ObjectId(5a2a5e23e007d23be0ebdd1b),9Y4LMH,"Solar panels also called solar cells (""solar battery""), absorb the sunlight as a source of energy to generate electricity or heat. Grid-connected solar photovoltaics (PV) is the fastest growing energy technology in the world, with 50% annual increases in cumulative installed capacity.  This translates into 1.5 million homes with rooftop photovoltaics feeding into the electricity grid worldwide. The most common application of solar panels is solar water heating systems. 
A photovoltaic system typically includes an array of photovoltaic modules, an inverter, a battery pack for storage The efficiency of a solar panel can be improved by studding the light-receiving semiconductor surface. high value of capacity of the solar panel can make higher maximum power point. Ontario is leading the way in North America with comprehensive renewable energy incentive using solar panels.
Photovoltaics companies include PV capital equipment producers, cell manufacturers, solar panel manufacturers and installers. The list does not include silicon manufacturing companies.
",solar panels,,,
ObjectId(5a2a5e23e007d23be0ebdd1c),ZHUSVZ,"Are you looking for information on planning and budgeting for a wedding? You came to the right place! The most important tips for wedding planning are: 1.get a grip on the approximate number of guests you'll invite. 2.Investigate Wedding Blackout Dates. 3.Calculate your budget and Take advantage of the high cost of weddings and sign up for a credit card with a rewards program. Your wedding budget should follow this formula: Half of the total budget to reception;20 percent for entertainment/music;20 percent for photo/vide. It's essential to allocate an extra 5 percent of your money for surprise expenses. You can assist with a professional wedding planner(""https://en.wikipedia.org/wiki/Wedding_planner""). Moreover, you can use an internet wedding budget calculator as ""The Knot"", ""Wedding Cost Estimator""(https://www.costofwedding.com/index.cfm/action/costest.index) or a special planning tool(http://www.yourweddingcompany.com/index.php/action/budgetCalc/).",wedding budget calculator,,,
ObjectId(5a2a5e23e007d23be0ebdd1d),ZHUSVZ,"This paper compares the precision and accuracy of five current Global Positioning System  = ""GPS"" receivers:
Trimble ProXR, Trimble GeoXT without WAAS, Trimble GeoXT with WAAS, Trimble GeoExplorer II, and an HP/Pharos receiver.
Each of these receivers, along with other similar units, are frequently used today for data collection and integration within a Geographic Information System = ""GIS"".
There is a trade-off between sub-meter accuracy and accuracy requirements of 10 meters and more.
To compare GPS receivers, we conducted a field study of 15 established survey markers in the City of Pocatello, Idaho.
The points were observed on ten different dates with equivalent settings(e.g. PDOP).
Overall, the results indicate that the GeoXT (""https://seafloorsystems.com/products/product/trimble-geoxt-handheld-gps-receiver/category_pathway-26"") is well suited where sub-meter accuracy is required while the Pharos receiver (""https://pharos.com/"") is a viable alternative for applications with accuracy requirements of +/- 10m and more.",gps,,,
ObjectId(5a2a5e23e007d23be0ebdd1e),ZHUSVZ,"Don't worry! It's not so difficult to build your own fence by yourself!
A new generation of do-it-yourself fence kits with easy self-assembly instructions make enclosing your back yard and garden an effortless task.
Nowadays,you can always use an internet guide or a YouTube video to install a DIY fence for your house,and give yourself privacy.
You can read about it on DiyNetwork(""http://www.diynetwork.com/how-to/outdoors/structures/10-things-you-must-know-about-installing-a-fence-pictures"") or on WikiHow(""https://www.wikihow.com/Build-a-Wood-Fence"").
It couldn't be simpler to transform your yard-No matter if it's a villa,cottage or caravan.
Most of the fences made of wood or steal.The Fence Authority offers the EZ Fence 2 Go system in both vinyl and aluminum.For those of you who are looking for a more rustic option  you can use fences go kits in wood.",build fence,,,
ObjectId(5a2a5e23e007d23be0ebdd1f),9J5ZE6,"Here you can find information on where i could buy a new or used trombone.
There are many used trombones that are in excellent condition and playable for sale.
 If well cared for, a used trombone can be good as new.
 Used trombones that have had a prior owner,
 can be much less expensive than new trombones.
The where queastion -Used trombones can be found in a variety of locations.
 Music instrument stores that sale them,
 of course, may carry some used instruments and information about them.
 Trombones can be found at pawn shops or resale stores.
Although it is possible to purchase a used trombone online,
 this can be risky, with little information about the seller.
 Many individual sellers will scam you to buy an instrument like used trombone in bad shape.
Watch out!
",trombone sale,,,
ObjectId(5a2a5e23e007d23be0ebdd25),DR8AY0,"Hand sewing is a characteristic of high-quality tailoring, haute couture fashion, and custom dressmaking, and is pursued by both textile artists and hobbyists as a means of creative expression. Start sewing in How to Sew - sewing patterns and tips for beginners. These beginner sewing projects include easy step-by-step instructions and free patterns to teach you successfully how to sew by learning basic sewing, stitching and needlework skills. D.I.Y. Guide for beginners. If you are new to the whole sewing craft world you can find everything that is essential to start training sewing from single thread, double thread, a sewing dictionary, Instructions, sewing ideas, threading a machine, tools, fabric, stitches and easy sewing patterns. Enjoy all these great sewing tips and tutorials. Sewing materials you need: spool of thread, scissors. sewing needle, the fabric that you are sewing together. Start sewing with Instructions basic sewing techniques and online sewing classes.
",sewing instructions,,,
ObjectId(5a2a5e23e007d23be0ebdd26),DR8AY0,"The Graduate Management Admission Test (GMAT) is a computer adaptive test (CAT) intended to assess certain analytical, writing, quantitative, verbal, and reading skills in written English for use in admission to a graduate management program, such as an MBA. Meet GMAT Prep classes:  Best GMAT class and Test Prep. Preparing for the GMAT exam and get great scores takes work, but with a sound study plan, you can gain competitive advantage and increse your score by 140 points. Being nervous about the GMAT exam is normal. But after taking our 36-hour GMAT prep class, you will see why more than 300000 students have chosen GMAT Prep. Prep Options, Expert Advice and Guaranteed Results. Popular Courses. Prep with a leader & score higher. Online, classroom or private tutor. GMAT Self-Paced Prep. Practice Test. Upcoming GMAT Dates, Info about the GMAT exam, GMAT registration, study tips, prep materials. Choose how to prep. start Prepping Now!",gmat prep classes,,,
ObjectId(5a2a5e23e007d23be0ebdd27),DR8AY0,"Barbados is an island country in the Lesser Antilles, in the Caribbean region of North America known for it's beautiful beaches. Barbados  is situated in the western area of the North Atlantic and 100 km east of the Windward Islands and the Caribbean Sea. Barbados is outside the principal Atlantic hurricane belt. Its capital is Bridgetown. The peaceful Arawaks and the more ferocious Caribs were the first inhabitants of Barbados. When English Captain, John Powell arrived in 1625, the island was uninhabited and as a result he claimed it for King James I of England.
If you want to visit or have a vacation in Barbados, look here: 
1. 60 Hotels in Bridgetown - Book your Hotel in Bridgetown. 
2. Barbados Travel Guide: Barbados.org Barbados: All holiday travel information for your vacation! Activities, where to stay, eat and shop. Island events, tours, maps, pictures, stories, people and more.
",barbados,,,
ObjectId(5a2a5e23e007d23be0ebdd28),CK7A5O,"Both wild and feral equid hooves have enormous strength and resilience. An example of the feral horse type is the Mustang. The Mustang is descended from the Iberian horses, most herds also ancestry from other breeds. Therefore, the Mustang hoof strength is a result of natural selection. it is proposed that other domestic breeds could develop similar hooves if raised under similar conditions.
The hoof is made up by an outer part, the hoof capsule and an inner hoof, living part, containing soft tissues and bone.
There are three bones inside the hoof. The longest is the short pastern bone that extends down from the long pastern bone in the horse foot. The largest bone within the hoof is the pedal bone or coffin bone (The third phalanx named laminae).
Some horse feet diseases to be aware: Abscesses, Corns and sole bruises, Hoof Cracks, Navicular, Quittor, Seedy Toe, Thrush. 
",horse hooves,,,
ObjectId(5a2a5e23e007d23be0ebdd29),CK7A5O,"This beginners tutorial will cover the basics instructions of hand sewing - tools needed, threading the needle, knotting the thread, running stitch, basting stitch, back stitch, sewing patterns, whip stitch and finishing with knots, a beginner's step by step guide.
Start with unraveling the thread from the spool. Make sure you pull out a lot. After that, cut it from the spool with the scissors. 
Weave the thread through the loop on the one end of the sewing needle.
Weave it until it's half way through the thread and fold the thread in half. Make sure the two ends of the thread are close together.
Before sewing, you need to tie the end of the thread.
Push the needle through the fabric and start sewing, at least a centimeter away from the edge.
Now take the sewing needle and put it back through the fabric beside the other spot you went through. ",sewing instructions,,,
ObjectId(5a2a5e23e007d23be0ebdd2a),CK7A5O,"The PlayStation 2 (PS2) is a home video game console that was developed by Sony Computer Entertainment. It is the successor to the PlayStation, and is the second installment in the PlayStation lineup of consoles. It was released on March 4, 2000 in Japan, October 26, 2000 in America. It competed with Sega's Dreamcast, Microsoft's Xbox, and Nintendo's GameCube in the sixth generation of video game consoles.
Most main entries in the Grand Theft Auto, Final Fantasy, and Metal Gear Solid series were released exclusively for the console. Several series got their start on the PlayStation 2, including God of War, Ratchet & Clank, Jak and Daxter, Devil May Cry, and Kingdom Hearts. Grand Theft Auto: San Andreas was the best-selling game on the console.
At CheatCodes website you can find PlayStation 2 (PS2) games! With thousands of cheats, hints and guides and tricks, we cover a wide range of racing, first person shooter, sporting games.",ps 2 games,,,
ObjectId(5a2a678be007d23d3981bdaa),YHSRWR,"This is a list of hobby stores in the United States which are known to carry model railroad equipment. The hobby shops list is in sorted order by Zip Code, so that shops which are near each other on the planet will tend to be near each other in the list, even though they may be in different cities. Html pointers are included for any store for which we have an email address or a website. Additionally, there are pointers at the beginning of the hobby stores list to each state. This version of the list is in one part; a two part version is also available on this site in case this one chokes your reader.
We try to keep this list up to date, but you should always call or email ahead before you make a trip! Your help in keeping this shops list up to date is appreciated.",hobby stores,,,
ObjectId(5a2a678be007d23d3981bdad),GE65PB,"Classical hobby stores specialize in modelling and craft supplies and specialty magazines for model airplanes (military craft, private airplanes and airliners), train models, ship models, house and building models. Some hobby shops sell R/C cars, boats, and model or remote control planes. Some hobby shops may also sell dolls, and collectible coins and stamps. A sub type of hobby shop is a game store, which sells jigsaw puzzles, card and board games and role playing games. In recent years, board and card game hobby shops have often become part-cafes. Another sub type of hobby shop is the computer store, which sells computers, software, services, and training. Computer hobby shops have traditionally sold computers, related network equipment, and services, more often than not, they are selling ""training"" in software like Adobe Photo Shop, Autodesk 3ds, web design and other ""creative"" software pursuits.
",hobby stores,,,
