_id,username,posted_document,query,check_one_gold,check_one_gold_reason,_golden
ObjectId(5a2a5e23e007d23be0ebdce1),GE65PB,"Wilson's unique line of CB antennas and accessories provide industry leading innovation with superior power, clear communication and durable rugged designs. For over 45 years, Wilson has been the name to trust in providing the very best in CB antennas and accessories. With exceptional customer service and industry leading technical experts, Wilson hosts a rare degree of customer loyalty and is second to none in its quality and innovation. Wilson CB antennas offer silver plated copper wire for superior power and the broadband antenna allows for easy tuning. This unique design means Wilson antennas will last and last in the most rugged of travel, no matter where you use them. Wilson offers CB antennas, studs, CB antenna mounts, cable and other accessories to meet all your needs",wilson antenna,,,
ObjectId(5a2a5e23e007d23be0ebdce2),GE65PB,"A website design and hosting service is a kind of internet hosting service which allows individuals and organizations to make their website accessible through the World Wide Web. Website hosting is a simple method through which you can add your website over the net. Website Design and Hosting Companies which provide this service provide the clients with servers with the help of which they can present information, files and bandwidth for the traffic that the website brings in. These services help people to place their ideas and products on the World Wide Web.Today, there are a number of companies offering web design and hosting services and it is challenging to choose the best among them. Listed below are some tips you can consider while choosing a Website design and Hosting Company:
",website design hosting,,,
ObjectId(5a2a5e23e007d23be0ebdce3),22IO1J,"
Wilson has long been a trusted name in CB antennas. They have several types of antennas to offer, including the most popular magnet mount antennas on the market.
When it comes to magnet mount antennas, we typically recommend these. Wilson magnetic mount antennas include a strong magnet with a protective coating to protect your vehicle's finish, a high quality coax, and a base loaded coil with a steel whip that creates less drag and keeps the antenna upright. The Little Wil magnet mount CB antenna is one of our most popular antennas. If you need something a little taller we also have the Wilson 1000 and 5000 antennas.  
Wilson fiberglass CB antennas are popular as well. They are similar to Firestik antennas and include a tuneable tip. They also have a unique grounding wire for situations were a high SWR cannot be remedied.
",wilson antenna,,,
ObjectId(5a2a5e23e007d23be0ebdce4),22IO1J,"Dieting is the practice of eating food in a regulated and supervised fashion to decrease, maintain, or increase body weight. A diet is often used by those who are overweight or obese.
Diets are also used to maintain a stable body weight and improve health. In particular, diets can be designed to prevent or treat diabetes, heart diseases and different types of cancer.
You sould check your Body Mass Index (BMI), discuss weight loss with your doctor and decide on a goal.
In addition you must eat fewer fats, sugars and carbohydrates but more vegetables, fruits and proteins.
Make physical activities such as swimming, aerobic exercises, yoga and plates.
Remember that even a small amount of weight loss can lead to big health benefits.
Estimate your calorie needs. Using USDA's online Adult Energy Needs and BMI Calculator, you can determine the number of calories needed each day to maintain your current weight. 

",dieting,,,
ObjectId(5a2a5e23e007d23be0ebdce5),22IO1J,"Pressure washers easily clean decks, patios, driveways, siding, sheds, outdoor power equipment and more. They save you time and produce immediate results with minimal effort, making spring cleaning a breeze. For small jobs consider an electric pressure washer, larger jobs will require the force of a gas pressure washer. Your outdoor clean-up projects can be made easier with power equipment such as leaf blowers, lawn mowers, riding mowers, trimmers, edgers, splitters and chippers.
The basic pressure washer consists of a motor (either electric, internal combustion, pneumatic or hydraulic) that drives a high-pressure water pump, a high-pressure hose and a trigger gun-style switch. Just as a garden hose nozzle is used to increase the velocity of water, a pressure washer creates high pressure and velocity.
We carry cold water residential pressure washers in sizes that can handle any project on your list 

",pressure washers,,,
ObjectId(5a2a5e23e007d23be0ebdce6),O5TA9W,"
Supportive housing programs offer low-cost housing to older people with low to moderate incomes. The Federal Department of Housing and Urban Development (HUD) and State or local governments often develop such housing programs. A number of these facilities offer help with meals and tasks such as housekeeping, shopping, and laundry. Residents generally live in their own apartments.
Continuing care retirement communities (CCRCs) provide a full range of services and care based on what each resident needs over time. Care usually is provided in one of three main stages: independent living, assisted living, and skilled nursing.
Nursing homes offer care to people who cannot be cared for at home or in the community. They provide skilled nursing care, rehabilitation services, meals, activities, help with daily living, and supervision. Many nursing homes also offer temporary or periodic care. 
",best long term care insurance,,,
ObjectId(5a2a5e23e007d23be0ebdce7),O5TA9W,"
PokerStars hosts the biggest guaranteed online poker tournament in the virtual universe every Sunday — the Sunday Million! Every week the highlights of the Sunday Million are available on PokerStars.tv.
If you want the most bang for your buck and the biggest opportunity to win the biggest payday of the week, playing the Sunday Million is a must. The buy-in is $215, but this week PokerStars has a special on the Sunday Million Team Online host who just happens to be Mickey 'mement_mori' Petersen, knock him out and you collect a bounty that gives you back your $215 buy-in.
If you're playing, the tournament kicks off at 14:30 ET and you could be rubbing virtual elbows with many of the PokerStars Team Online and the pros. Don't be nervous if you are, get in and show them you know how to play!
",poker tournaments,,,
ObjectId(5a2a5e23e007d23be0ebdce8),O5TA9W,"
The island of Barbados is located at 13.4ºN and 54.4ºW and is situated in the western area of the North Atlantic Ocean and 100 kilometres east of the Windward Islands and the Caribbean Sea. The island is seen by most scientists as geologically unique as it was formed as a result of an amalgamation of two land masses over a period of many years. The peaceful Arawaks and the more ferocious Caribs were the first inhabitants of Barbados. However, when English Captain, John Powell arrived in 1625, the island was uninhabited and as a result he claimed it for King James I of England. Powell soon returned to England to put the necessary plans in place and subsequently returned to Barbados in February of 1627 at the site which is now known as Holetown. 
",barbados,,,
ObjectId(5a2a5e23e007d23be0ebdce9),RG9N1V,"
The SAT and SAT Subject Tests are designed to assess your academic readiness for college. These exams provide a path to opportunities, financial support, and scholarships, in a way that's fair to all students. The SAT and SAT Subject Tests keep pace with what colleges are looking for today, measuring the skills required for success in the 21st century.
About SAT: The SAT is a globally recognized college admission test. Learn what it tests and how you can best prepare.
About Subject Tests: SAT Subject Tests can complement or enhance your college admission credentials.
When's the Best Time to Take the SAT?
The SAT and other College Board tests are offered several times a year. Most students take the SAT for the first time during the spring of their junior year and a second time during the fall of their senior year.
",sat,,,
ObjectId(5a2a5e23e007d23be0ebdcea),RG9N1V,"
Unless you buy one of the sleek, new one-piece models, you'll have to buy both a bowl and a tank. They'll come in two separate boxes. Have a Lowe's customer service associate help you ensure the two components match. Almost any tank you purchase will come with the flush-valve assembly already installed, but it never hurts to check this as well. In addition, you'll need new closet bolts, a wax gasket, and a toilet seat if these aren't included. There are complete kits that include the tank, bowl, wax ring and a hardware kit.
If you plan to replace the supply line, the flexible ones encased in stainless-steel mesh are strong, attractive, and very convenient. Less expensive plastic supply lines are also available if cost is a concern and your local codes allow them.
",toilet,,,
ObjectId(5a2a5e23e007d23be0ebdceb),RG9N1V,"
First things first - there are two main ways to thread your hand sewing needle and both are good for different techniques: 
Single thread: thread your needle but knot only one end so that the other is free to come unthreaded - this is especially useful for embroidery techniques where you might need to quickly and easily unpick a few stitches.
Double thread: thread your needle and knot both ends together - the doubled up thread will make for a more secure stitch, but is impossible to unpick without cutting the thread and starting over!
Good for gathering or ruching fabric to make gathered skirts, basting seams and stay stitching a curved edge to prevent it from stretching. A running stitch looks exactly the same on both sides of the fabric.
",sewing instructions,,,
ObjectId(5a2a5e23e007d23be0ebdcec),M1HVGL,"In our online store CarParts.com we offer great discounts for all auto parts from various categories: air filters, alternators, belts and many kinds of sensors and compressors. Also, we have in stock parts for old models and collectible cars.",car parts,,,
ObjectId(5a2a5e23e007d23be0ebdced),M1HVGL,"French Lick Casino is a grand historical resort that provides memorable experiences joined with quality service, dedication and overall excellence. The French Lick Casino is located in Indiana among the hills of Hoosier National Forest. This magnificent resort complex offers four diamond hotels, golf courses, spas and a Vegas-styled casino. So click here and book your vacation at the best price!",french lick resort casino,,,
ObjectId(5a2a5e23e007d23be0ebdcee),M1HVGL,"The bowflex power pro fitness machines help you create an actual gym in your own home! All products come with manuals containing exercises, demonstrations, list of additional bowflex power pro parts to complete your workout equipment set and many more!",bowflex power pro,,,
ObjectId(5a2a5e23e007d23be0ebdcef),CLQLJE,"
The SAT and SAT Subject Tests are designed to assess your academic readiness for college. These exams provide a path to opportunities, financial support, and scholarships, in a way that's fair to all students. The SAT and SAT Subject Tests keep pace with what colleges are looking for today, measuring the skills required for success in the 21st century.
About SAT: The SAT is a globally recognized college admission test. Learn what it tests and how you can best prepare.
About Subject Tests: SAT Subject Tests can complement or enhance your college admission credentials.
When's the Best Time to Take the SAT?
The SAT and other College Board tests are offered several times a year. Most students take the SAT for the first time during the spring of their junior year and a second time during the fall of their senior year.
",sat,,,
ObjectId(5a2a5e23e007d23be0ebdcf0),YHSRWR,"Bluehost- the best website design hosting, built its Web hosting management interface around the cPanel control panel, a truly ugly and utilitarian system that is nonetheless the industry standard today. cPanel is designed for pros who know what they're doing, and Bluehost offers little hand-holding if you need help getting started (although the company promises average tech support hold times of less than 30 seconds). But what Bluehost lacks in friendliness it makes up for in exhaustiveness: With over 75 installation scripts at hand, you can point and click your way to building just about any kind of website, blog, wiki, e-commerce, without a lot of fuss. The service plan is unremarkable yet comprehensive and the big draw for most Bluehost customers (including this writer) cheap. Pro packages can reach 20$ a month, but most customers squeak by on the less than 4$ per month basic plan.",website design hosting,,,
ObjectId(5a2a5e23e007d23be0ebdcf1),YHSRWR,"A fence is a structure that encloses an area. A fence differs from a wall in not having a solid foundation along its whole length. If you're looking to increase home security and keep unwanted critters from your home, a fence can help get the job done. Even if you're busy, you can still have time to build a DIY fence and earn the privacy and ""R and R"" you are so desperately seeking. Our EZ Fence 2 Go fencing system is the easiest way to build the fence of your dreams on your terms. A new generation of build it yourself fence kits with easy building instructions make enclosing your back yard and garden an effortless task. It couldn't be simpler to build this fence! The fence Authority offers the EZ Fence 2 Go system in vinyl, aluminum and wood- for those who are looking for more rustic fence. ",build fence,,,
ObjectId(5a2a5e23e007d23be0ebdcf2),6FQC0C,"Supportive housing programs offer low-cost housing to older people with low to moderate incomes. The Federal Department of Housing and Urban Development (HUD) and State or local governments often develop such housing programs. A number of these facilities offer help with meals and tasks such as housekeeping, shopping, and laundry. Residents generally live in their own apartments.
Continuing care retirement communities (CCRCs) provide a full range of services and care based on what each resident needs over time. Care usually is provided in one of three main stages: independent living, assisted living, and skilled nursing.
Nursing homes offer care to people who cannot be cared for at home or in the community. They provide skilled nursing care, rehabilitation services, meals, activities, help with daily living, and supervision. Many nursing homes also offer temporary or periodic care. Please have careful look on all the options before agreeing to a long term care insurance. 
",best long term care insurance,,,
ObjectId(5a2a5e23e007d23be0ebdcf3),6FQC0C,"There exists many providers, but one is above the others because how he broke the market. Free is this internet phone services provider. It enables you to call, text and use internet unlimited across all Europe, USA and Israel.  You can call mobile and home phones and get 3G and 4G. All these services for only 20$ a month. It was the first provider to adopt this kind offer in France at a price that low. It is great when you travel, it makes you save a lot money.
Moreover, it is really easy to subscribe on their website in few minutes. Do not hesitate to  have a look and test their internet phone services. 
",internet phone service,,,
ObjectId(5a2a5e23e007d23be0ebdcf4),6FQC0C,"Full stack web developer:
Description: This position often involves developing everything from the user interface (UI) to the backend systems.
Requirements: This position often requires that the individual has a good knowledge in software development. 
Programmer or Software developer:
Description: A job that requires the development or continued development and maintenance of a software program.
Requirements: A basic to extensive understanding of a programming language. Because most job positions require the ability to help develop a program, they require several years of experience or a degree.
Security expert:
Description: Test and find vulnerabilities in a system, hardware device, or software program.
Requirements: This position is for someone who has a strong familiarity with how software, hardware, and networks work and how to exploit them. Often, you need to have a good understanding of how the overall system works as well as good programming skills.
",computer programming,,,
ObjectId(5a2a5e23e007d23be0ebdcf5),TJBYUD,"
This is a list of notable photovoltaics (PV) companies.
Grid-connected solar photovoltaics (PV) is the fastest growing energy technology in the world, with 50% annual increases in cumulative installed capacity in 2006 and 2007, to an estimated 7.7 GW. This translates into 1.5 million homes with rooftop photovoltaics feeding into the electricity grid worldwide.During 2007, investment in new solar photovoltaic manufacturing facilities was strong in Europe, Japan, China, Taiwan and the United States, with many new operations reported. Since October 2009, the Canadian province of Ontario has had vast success with the implementation of their feed-in tariff incentive for grid-connected solar systems. Ontario is currently leading the way in North America with this comprehensive renewable energy incentive.
Photovoltaics companies include PV capital equipment producers, cell manufacturers, panel manufacturers and installers. The list does not include silicon manufacturing companies.
",solar panels,,,
ObjectId(5a2a5e23e007d23be0ebdcf6),TJBYUD,"
PokerStars hosts the biggest guaranteed online poker tournament in the virtual universe every Sunday — the Sunday Million! Every week the highlights of the Sunday Million are available on PokerStars.tv.
If you want the most bang for your buck and the biggest opportunity to win the biggest payday of the week, playing the Sunday Million is a must. The buy-in is $215, but this week PokerStars has a special on the Sunday Million Team Online host who just happens to be Mickey 'mement_mori' Petersen, knock him out and you collect a bounty that gives you back your $215 buy-in.
If you're playing, the tournament kicks off at 14:30 ET and you could be rubbing virtual elbows with many of the PokerStars Team Online and the pros. Don't be nervous if you are, get in and show them you know how to play!
",poker tournaments,,,
ObjectId(5a2a5e23e007d23be0ebdcf7),TJBYUD,"
And it's a good thing. Because living Out Here, there's no end to the ways we put ours to use.
That's why Tractor Supply carries a full line of powerful, performance-oriented pressure washers in a range of different sizes, configurations and horsepowers. As well as all the accessories and connectors you need to hit the ground spraying.
We carry cold water residential pressure washers in sizes that can handle any project on your list – from 1700 PSI at 1.8 GPM all the way up to 4200 PSI at 4.0 GPM. And commercial hot water skid mount units that can handle even the toughest jobs. All in addition to replacement and extension hoses, quick disconnect adapters, spray guns and nozzles, pressure regulators and crankcase oil. Not to mention a wide range of spray tips and power wash concentrates.
",pressure washers,,,
ObjectId(5a2a5e23e007d23be0ebdcf8),QC0UHH,"this is a clear message for all dog owners: please clean after your dog! we would like to assist you with it by supplying doggy bags which are distributed around the city. each bag has agile support handles and is made of 100% nylon which makes it good for recycling. also we would like to inform about a fine that will be cast on each person not picking up his dog's waste, which will cost him 100. also, we have established dog bags bins that are there for the doggy bags we have supplied, and for each bag thrown there you will receive a bonus of 50, that can be taken off any fine you have pending. we hope that these improvements will encourage you to take better care of your dog also at parks and outside of your house, but don't abandon your car though!",dog clean bags,,,
ObjectId(5a2a5e23e007d23be0ebdcf9),QC0UHH,"we know you have read the newspapers, about the new york Trump international hotel and tower being left empty after his recent sayings about the border between usa and mexico, but we want to assure you that we still maintain the best hotel in NYC, and in more than one category: we obviously are still the closest to the MSG, so you can easily watch your favorite team play against the newyork knicks at the mecca of basketball. we still serve the best room service and with the greatest quality to price rate. and we also don't mind you stealing our towels. moreover, we have improved their quality so your stay at our hotel, and at your house, is as comfortable as possible, and you will remember the Trump international hotel and tower even when you are at your house, and you will want to pay a visit again.",newyork hotels,,,
ObjectId(5a2a5e23e007d23be0ebdcfa),QC0UHH,"sat is an examination that is meant to evaluate your education level as you prepare yourself to attending college. the abbreviation sat stands for scholastic assessment test, and the sat test itself was founded in 1926. the specialty about this exam is that it provides fair chance to everybody taking it to show their worth without financial, race and background factors. another quality of the sat is that it is respected all over the world as a pre college exam. the subjects that are being questioned are reading, writing, language and mathematics (with and without calculator). the score range in this test is from 400 to 1600. a sat examination costs 47 dollars. the best time to take it, according to its operator College Board, is the spring of junior year or the winter of senior year. we wish you a successful examination!
",sat,,,
ObjectId(5a2a5e23e007d23be0ebdcfb),H25LL9,"Long term care insurance is a smart decision for many people. It helps pay for long-term nursing home care or health care assistance in your home when you get older.                     
You only want to consider companies that have been rated 'A++' (by A.M Best), which means they are of the highest financial strength. It also means that they won't jack up the rates after a few years and they will cover you for either in-home care, nursing home care or assisted living.                                                                                                                                                       
The prime age to buy is late 50s. If you have aging parents, talk to them about it.  
Shopping for LTC insurance may be simplified by contacting an independent agent who can shop quotes from a variety of companies for you like BestLTC.                                                             
You should not buy LTC insurance if you are very wealthy or very poor. 'Very wealthy' would be having investable assets. 'Very poor' would mean qualifying for Medicaid.  ",best long term care insurance,,,
ObjectId(5a2a5e23e007d23be0ebdcfc),H25LL9,"Dieting is the practice of eating food in a regulated fashion to decrease, maintain, or increase body weight. In other words, it is conscious control or restriction of the diet. A restricted diet is often used by those who are overweight or obese, sometimes in combination with physical exercise, to reduce body fat. Some people follow a diet to gain weight. Diets can also be used to maintain a stable body weight and improve health. 
Diets to promote weight loss can be categorized as: low-fat, low-carbohydrate, low-calorie and more recently flexible dieting. In general, the most effective diet is any which reduces calorie consumption. 
A 2008 study showed that dieters who kept a daily food diary lost twice as much weight, suggesting that if you record your meals, you wouldn't eat as many calories.
A 2009 article found that drinking water prior to meals may help you manage your appetite and control hunger.
",dieting,,,
ObjectId(5a2a5e23e007d23be0ebdcfd),H25LL9,"Sony's PlayStation 2 is one of the greatest video game consoles of all time. Not only has it built up a tremendous library of software over the years, but it's also sold more than 145 million units worldwide -- more than any other console to date. 2010 marks the 10-year anniversary of the PS2's launch, so what better way to celebrate the beloved console than to look back at all the great games we've enjoyed on the system? The PlayStation 2 had it all: shooters, fighters, racers, and role-playing games -- no genre went unloved during the PS2's brilliant life. We've taken the time to rank the top 100 games on the PlayStation 2, no small feat considering how many fantastic titles are out there. Only a few editors were injured in the process, but the sacrifice was well worth it. Read on to uncover the finest gems of the PS2's library.",ps 2 games,,,
ObjectId(5a2a5e23e007d23be0ebdcfe),413CV9,"Doggy Bag Inc. make the highest quality, most durable and lightweight dog cleaning bags, perfect for your pup!
Walking your dog in the park is much more enjoyable when you can easily clean after it, avoiding uncomfortable situations and penalties.
Order your 100 piece Doggy Bag Premium Pack only for $10 now, and receive a free dog walking leash with a special compartment for storing the bag.
With Doggy Bag, your dog will be happier, you will be happier and the environment will be much cleaner!",dog clean bags,,,
ObjectId(5a2a5e23e007d23be0ebdcff),413CV9,"PokerMania is the main annual international online poker competition, which is the highlight of the online poker community!
Only the top 100 ranked professional poker players qualify for the PokerMania tournament, by competing in regional tournaments throughout the year.
The tournament games are broadcast live online, and the schedule runs for over a month.
In the first round 100 players are split to 4 groups of 25 players each, and only the top 10 players in each group qualify for the next round.
The finals take place on the 4th of July and the winner receives a prize of 100 million dollars!",poker tournaments,,,
ObjectId(5a2a5e23e007d23be0ebdd00),413CV9,"Toilet World Inc. offer a wide range of toilets to match your particular needs and bathroom facilities.
Our toilets come in all shapes, sizes and made of high quality materials such as porcelain, stainless-steel, stone, wood and even plastic.
Order now, and our professional plumbers will install the toilet of your choice in your bathroom, dealing with all the necessary plumbing and hardware work free of charge!
We even provide toilet maintenance and cleaning services as well as supplies, to keep your toilet and bathroom spotless and functional!
In the unfortunate event where your toilet gets clogged or broken, don't worry, contact our customer service and we will assist you to unclog it, and even come fix it for you if needed!",toilet,,,
ObjectId(5a2a5e23e007d23be0ebdd01),AKQHO6,"Verizon Wireless is the largest cellular communications provider in America. They sell all the range of cellular products available on the market. From simple Cell phones and feature phones to most HiTec Smartphones and Cellular communication modems. Verizon also responsible for the largest 4G Cellular network which supports all the cell phones and wireless devices they sell. One Cellular antenna creates a cell which can support up to 10K Cellular devices, since the average person today owns at least one Cellular device, the number of antennas increases dramatically in urban areas the population density grows and each person has at least a Cell phone (or a smartphone) and usually other Cellular communication devices. Some believe the Cellular waves are dangerous for humans, so they just stick to the regular landline phones.",cell phones,,,
ObjectId(5a2a5e23e007d23be0ebdd02),AKQHO6,"Furnishing a small Condo is more about designing the space rather than just buying new furnitures. With some basic design tips you can furnish even the smallest spaces. Although some furnitures are often sacrificed for a spacious design, planning of the acquired furnitures ahead can go a long way in the design of a small space apartment. Choose small furnitures over big ones, modular couch over a sofa. Try to buy all the furniture in one store to get at least a small discount.  Buying the furniture at one store will also help your space look like a home from a catalogue. Just take your time in selecting small and well designed furniture, and enjoy your new living space!",furniture small spaces,,,
ObjectId(5a2a5e23e007d23be0ebdd03),AKQHO6,"The Body Mass Index (BMI) - is an indicator of body fat. Some people believe that a Diet is the way to improve the BMI, though recent researches show that a diet is not the best way to lose weight. The right way to go is combining a good diet with physical workout. Dieting can be hard, especially if your diet consists of a low variety of food. Before starting a diet make sure to see a dietitian, together you can build a dieting program that will have all the fat and nutrients your body needs, and will help you get in shape.",dieting,,,
ObjectId(5a2a5e23e007d23be0ebdd04),5WM9S0,"Today we will recommend and provide information about where you could buy a new or used trombone, and good places to sell a used trombone. Trombones are a well known and loved musical instrument. Buying an unused trombone can be quite expensive, and for beginners may be completely unnecessary. Obviously you can buy a new trombone in music instrument stores, but a wiser step would be checking outlet stores (factory outlet) first, as prices tend to be lower. As for used trombones, you can first check prices online and order a trombone from a trusted retailer online if you find a good deal or sale. We recommend to search for nearby garage sales, hang an ad in your neighborhood and also checking musical instrument stores for used or slightly defected trombone. If you wish to sell your old, unused or uneeded trombone, you can publish an ad on Facebook, eBay or other famous second hand websites.",trombone sale,,,
ObjectId(5a2a5e23e007d23be0ebdd05),5WM9S0,"First we give some information about the anatomy of horses' feet and hooves. A horse hoof is a structure surrounding the distal phalanx of the 3rd digit of each of the four limbs of Equus species, which is covered by complex soft tissue and keratinised structures. Here are some horse hooves care tips: pick out your horse's feet, schedule regular farrier visits and protect your horse's hooves during hauling. Hoof diseases and injuries that you should be aware of: Abscesses, treatment: soak the hoof in a solution of Epsom salts in warm water to draw out any remaining infection, Corns and sole bruises, treatment: have him stand with the affected hoof in a bucket of ice water, Hoof Wall Cracks, treatment: your vet will open the crack to disinfect the area and remove any dead tissue. Shoeing horses can also help prevent hoof problems and injuries.",horse hooves,,,
ObjectId(5a2a5e23e007d23be0ebdd06),5WM9S0,"Computer programmers have many types of careers available for them and can work as: Application Programmers, System Programmers, Web Programmers, Software Developers, Security Software Developers and many more. You can find online computer programming tutorials in websites such as MIT open courseware, Code Academy, Khan Academy, Coursera etc. Computer science degree programs include fundamentals of computer programming as well as the mathematical and scientific principles that provide the underpinnings. Discrete math, computer organization and architecture, algorithms, programming and software design are also learnt thoroughly. The average annual wage for a computer programmer is 61,000 USD. Examples of computer programming languages: JavaScript, Python, Java, Ruby, PHP, C++, CSS, C#, Go, C.",computer programming,,,
ObjectId(5a2a5e23e007d23be0ebdd07),VAX5JH,"
BlueHost built its Web hosting management interface around the cPanel control panel, a truly ugly and utilitarian system that is nonetheless the industry standard today. cPanel is designed for pros who know what they’re doing, and BlueHost offers little hand-holding if you need help getting started (although the company promises average tech support hold times of less than 30 seconds).
But what BlueHost lacks in friendliness it makes up for in exhaustiveness: With over 75 installation scripts at hand, you can point and click your way to building just about any kind of website--blog, wiki, e-commerce--without a lot of fuss. The service plan is unremarkable yet comprehensive and--the big draw for most BlueHost customers (including this writer)--cheap. Pro packages can reach $20 a month, but most customers squeak by on the less-than-$4-per-month basic plan.
",website design hosting,,,
ObjectId(5a2a5e23e007d23be0ebdd08),VAX5JH,"
No matter what your budget, a chic, high-end wedding can be yours without sacrificing a single iota of style.
Guest List: Invite 100 guests instead of 150 (save on everything). Do the math: If your wedding comes to $100 per person for food and drink, cutting your list from 150 to 100 saves $5,000.
Wedding Style: The less formal the affair, the more affordable. Instead of a sit-down dinner, go for a casual brunch or barbecue. Get rental cars in lieu of limos.
Wedding Invitations: Keep the wedding invitations simple. Remember, top-quality paper, fancy typography techniques and custom-colored inks increase the price, as do decorative envelope linings and multiple enclosures. Choose one fabulous element and keep all the rest simple. Use response postcards or make save-the-date cards yourself. To keep postage costs down, stay away from oversize or overweight styles.
",wedding budget calculator,,,
ObjectId(5a2a5e23e007d23be0ebdd09),VAX5JH,"
Supportive housing programs offer low-cost housing to older people with low to moderate incomes. The Federal Department of Housing and Urban Development (HUD) and State or local governments often develop such housing programs. A number of these facilities offer help with meals and tasks such as housekeeping, shopping, and laundry. Residents generally live in their own apartments.
Continuing care retirement communities (CCRCs) provide a full range of services and care based on what each resident needs over time. Care usually is provided in one of three main stages: independent living, assisted living, and skilled nursing.
Nursing homes offer care to people who cannot be cared for at home or in the community. They provide skilled nursing care, rehabilitation services, meals, activities, help with daily living, and supervision. Many nursing homes also offer temporary or periodic care. 
",best long term care insurance,,,
ObjectId(5a2a5e23e007d23be0ebdd0a),XCD8FL,"Pressure washers are efficient tools used to wash entities using air-pressure. They can be used as performance-oriented pressure washer for cars, outdoor equipment, and more. Using air-pressure you can wash almost everything out of your desired valuable by washing dust and dirty things with no leftovers. When pressure-washing you can clean everything without leaving any sign on your valuable equipment.
Pressure-washers are available in a wide range of sizes, pressures, and abilities. There is commercial air-pressure washer for cleaning parts in big corporations and places or home washers for smaller places and apartments.
Washers based on air-pressure can vary from 1700 PSI to 4200 PSI depends on your pressure and area requirements.
You can find washers online at great prices for your home or office including regulators and crankcase oil. Spare parts are also available in some models of the new pressure-washers.",pressure washers,,,
ObjectId(5a2a5e23e007d23be0ebdd0b),XCD8FL,"GMAT prep classes are a must when preparing yourself for the gmat exam. Getting ready for taking the exam might be terrifying when doing it without any help to be well prepared.
Preparation classes for GMAT are available in many languages and levels so you can find the one that suits you best. GMAT prep class can prepare you well for the exam when taking the right path for you to study.
Prep classes are also available for other exams and test rather than the Gmat, for example, SAT. Classes for preparing yourself for any kind of exam, studying in a study group rather than sitting alone in your room. GMAT is an example of a test that requires a lot of prep classes before taking it because you need to develop a specific way of thinking.
In conclusion, GMAT prep classes are crucial when you're about to take the exam.",gmat prep classes,,,
ObjectId(5a2a5e23e007d23be0ebdd0c),XCD8FL,"PS 2 games can be found in any store worldwide. playstation 2 is very famous and popular and there are a lot of games you can play alone or with friends. PS 2 or playstation 2 games gained their popularity recently when Sony released a new PS console for gaming.
CheatCodes.com has more content than anyone else to help you win all PlayStation 2 (PS2) games!
With thousands of cheats, hints and guides for PS2 games, we cover a wide range of racing, first person shooter, sporting games, and everything else -- to ensure you can play your games your way.
Even though games are no longer actively produced for the PlayStation 2, CheatCodes.com still posts new tips and hints for all PlayStation games... including those that cross over from PS2 to the PlayStation 3, or maybe that you used to play on your old original PlayStation system.
Choose the starting letter for the PS2 game you're looking.
",ps 2 games,,,
ObjectId(5a2a5e23e007d23be0ebdd0d),63ZBKE,"An elliptical trainer or cross-trainer is a stationary exercise machine which combines the motion of stair stepping with cross-country skiing. The elliptical trainer is used to simulate stair climbing, walking or running without causing excessive pressure to the joints, hence decreasing the risk of impact injuries. For this reason, people with some injuries can use an elliptical trainer to stay fit, as the low impact affects them little. Moreover, people are increasingly looking to elliptical workouts as a safe way to get fantastic cardio exercise, to help lose excess weight, and to tone up the entire body overall. Many elliptical trainers use alternating push/pull resistance bars to add an upper body workout as you stride. The pedals can also be reversed (backward stride), which not only works the muscles in a slightly different manner but allows some variation in your workout.
",elliptical trainer,,,
ObjectId(5a2a5e23e007d23be0ebdd0e),63ZBKE,"If you're looking to increase home security and keep unwanted critters from your home, a fence can help get the job done. A few of the most popular fences include privacy, picket, split rail and basket weave. The fence can be made from materials ranging from wood to vinyl, aluminum to wrought iron. Before you begin, research the fencing guidelines in your area. ""EZ Fence 2 Go"" fencing system is the easiest way to get the fence of your dreams on your terms. A new generation of do-it-yourself fence kits with easy self-assembly instructions make enclosing your back yard and garden an effortless task. It couldn't be simpler to transform your yard! The Fence Authority offers the ""EZ Fence 2 Go"" system in both vinyl and aluminum. For those of you who are looking for more rustic option, we also offer fences-to-go kits in wood. ",build fence,,,
ObjectId(5a2a5e23e007d23be0ebdd0f),63ZBKE,"Preparing for the GMAT exam takes time and effort, but with a sound study plan, you can get the score you want. Smart test takers approach the test with a solid plan and execute on that plan. They get the most out of practice tests and resources, understand how they learn, and stay positive. Just remind yourself that you have what it takes! Like any important goal, preparation and hard work pay off.  The following steps will help you plan a course toward your best GMAT.  Firstly, determine when you plan to attend a Graduate Business Program and check the GMAT requirements for the schools you wish to apply. Register for the GMAT exam and develop a study plan. Proceed establishing your skills baseline by taking a practice exam. Now, start studying and design a personal study plan. Assess your progress and continue studying. Finally, plan for your test day.",gmat prep classes,,,
