_id,username,posted_document,description,query,this_document_is_gold,this_document_is_gold_reason,_golden
ObjectId(59f97bcde007d239e50a4fae),SQ9LIK,"Building a fence can be an improvement for your family - it gives privacy and security to your home. A protective barrier is also good for pets that can be in the garden, so they can't get out of your yard (I observed it by myself). Notice that there are different materials for fences e.g. wood, wire, aluminum, wrought iron, and designs with and without a gate, low or high height and etc (see pictures). Different borders require different prices. 
Did you ask ""How do I go about building a fence myself?"" You don't have to be a handyman expert. Installing a fence can be done by a simple DIY fence guider, after short searching in YouTube. Regarding building a fence by DIY, think about your skills, time, confidence and budget. Sometimes a building permit is required, if you live in a development with its own private regulations.","
    How do I go about building a fence myself?",build fence,,,
ObjectId(59f97bcde007d239e50a4faf),SQ9LIK,"Barbados is an island country in the Lesser Antilles, in the Caribbean region of North America, situated in the western area of the North Atlantic Ocean, east of the Windward Islands and the Caribbean Sea. In addition, the Saint Vincent and the Grenadines in the east of Barbados, and Trinidad and Tobago in the north-east. Barbados is seen by scientists and geologists as it is an amalgamation of two lands over a period of many years.  Its capital and historical city is Bridgetown. The history of the early settlement of Barbados is rewritten because of recent archaeological discoveries. In the past (1625) when Barbados was uninhabited, historians found that a first English ship touched the island was under the command of Captain John Powell. As a result, the island of Barbados was claimed on behalf of King James I of England.","
     Find information on Barbados history.",barbados,,,
ObjectId(59f97bcde007d239e50a4fb0),SQ9LIK,"You can order dog clean-up bags online by browsing in selling sites such as Amazon.com or eBay.com. The order could also be done by connecting to companies selling dog clean-up bags online such as Pogi's, Earth Rated, Pink Paws, Paws & Pals on the net. Sponsored products to buy, can be Poop Bag Shop Dog, Pet Dog Waste Bags and more. Other low cost options are spare plastic bags, newspapers or nappy sacks. By simple comparison, the clean-up bags are more preferable - those sacks are more convenient, useful and even biodegradable. The dog owner can travel through the playgrounds and save the environment, where special bins are found for dog waste with packages of free dog clean-up bags attached to them. Nowadays, it seems that cleaning up by using dog clean-up bags becomes more comfortable. ","
     Can I order dog clean-up bags online?",dog clean bags,,,
ObjectId(59f97bcde007d239e50a4fb1),GE65PB,"""No hoof, no horse."" It's such a simple statement, but it holds so much truth. Your horse's hooves provide the foundation for everything you two do together, so it's important to know the horse hoof care that will keep them healthy and sound. But sometimes that's easier said than done.  Some common horse hoof problems and hoof diseases can happen to the healthiest hooves, so it's important to know what to watch out for, and what to do in case a problem arises.","
    Find information about horse hooves, their care, and diseases of hooves.",horse hooves,,,
ObjectId(59f97bcde007d239e50a4fb2),GE65PB,"Nestled among the hills of the Indiana Hoosier National Forest resides a classic American destination - French Lick Resort. Home to two nationally historic hotels, three challenging golf courses, two rejuvenating spas, impressive meeting venues and a Vegas-style casino, our resort is family-friendly, business-competent and perfect for a planned or impromptu getaway. Get your game on at French Lick Casino, a 51,000-square-foot gaming facility all on one floor with soaring 27-foot ceilings. On our gaming floor, you can play to win big jackpots on slot machines or a progressive jackpot at our table games. You'll find live-action blackjack, roulette and craps and other table games, a luxurious high-limit room and indiana's largest non-smoking room. Bring a group of friends and enjoy live entertainment, DJ's and Promotions in our spacious entertainment lounge. ","Find information on French Lick Resort and Casino in
  Indiana.",french lick resort casino,,,
ObjectId(59f97bcde007d239e50a4fb3),GE65PB,"If you're looking to increase home security and keep unwanted critters from your home, a fence can help get the job done.
A few of the most popular fences include privacy, picket, split rail and basket-weave. They can be made from materials ranging from wood to vinyl, aluminum to wrought iron. 
Before you build your own fence, research the fencing guidelines in your area. Sometimes a building permit is required. For the installation, think about how much you want to be involved based on your skills, time, confidence and budget. If your skills are above average, consider a DIY installation. If below average, our professional installers can do it for you.
This guide shows you how to secure the fence posts, attach the panels (pickets) and complete the fence with post caps.  ","
    How do I go about building a fence myself?",build fence,,,
ObjectId(59f97bcde007d239e50a4fb4),22IO1J,"Quit Smoking Today!
Do you smoke but want to cessate?
Do you ask yourself how can I quit smoking?
Nicotine is one of the most harmful and widely available legal drugs in the world, cigarettes are composed of nicotine, tobacco and more not healthy, lethal and addictive toxins. 
The cigarettes habit causes nicotine addiction. 
This habit may cause health problems such as cancer, strokes  and  heart diseases. 
Quitting smoking greatly reduces the risk of developing smoking-related diseases.
You should know that within 20 minutes after stop smoking, the body starts to derive benefits, according to Healthline. Heart rate, blood pressure, circulation and many other bodily functions improve.
Quitting smoking is not easy. We offer some practical tips to help you break your nicotine addiction and kick the cigarette habit for good. 
In addition, we can help you quit pipe, marijuana, heroin, cannabis and hookah,  
So, come and quit smoking now!","
    What are the ways you can quit smoking?",quit smoking,,,
ObjectId(59f97bcde007d239e50a4fb5),22IO1J,"Internet Telephone Provider,  reflects the fact that they offer no-nonsense Internet phone service. They earn the #1 slot on this list not just because they offer unlimited calling nationwide with their phone service, but they also give new customers 2 months of free calling as part of their sales. The competition between the  Internet phone service providers is huge and the customers earn from it . At only $8.32 monthly, this deal even includes free mobile VoIP app for smartphones for all-inclusive VoIP service.
Phone Power's service is a little cheaper $5.99 monthly, and includes 60 minutes of free International calling to over 75 countries. Even when the hour is up, International rates with PhonePower are still cheaper than the per-minute rate most traditional phone providers charge for even local calls. 
The providers sould enable safe internet surfing and faultless routing,  they have to overcome issuses such as hackers and infrastructures.","
    What is the best internet phone service?",internet phone service,,,
ObjectId(59f97bcde007d239e50a4fb6),22IO1J,"
Dieting is practice of eating food in regulated, supervised fashion to decrease, maintain, increase body weight. 
In other words, it is conscious control or restriction of the diet. Restricted diet often used by overweight or obese people.
Dieting should be done by boosting your metabolism, burning calories by making sport activities such as  aerobic exercises and eating balanced meals with few fats and carbohydrates but with lots of proteins, vegetables and legumes.
Check your Body Mass Index (BMI) - indicator of body fat - and see where it fits within the BMI categories. Discuss weight loss with your doctor and decide a goal.
Try not to make mistakes such as  exercising too much, eating too early, skipping breakfast etc.
People may make diet in order to prevent health problems such as cancer, strokes, diabetes, high blood pressure  and  heart diseases. 
Remember that even a small amount of weight loss can lead to big health 
","
    Find ""reasonable"" dieting advice, that is not fads or medications
    but reasonable methods for weight loss.",dieting,,,
ObjectId(59f97bcde007d239e50a4fb7),O5TA9W,"Preparing for the GMAT exam takes time and effort, but if you want to the score you always desired, the best option would be a prep class. Most people think you can succeed the GMAT exam by simply planning ahead but there is more to it than that.
First, you need to start by searching for a good GMAT prep class - But what is a good GMAT prep class? That's the real question.
A good prep class, no matter to which exam its intended, must comply to the following: simplicity, excellent faculty and experience.
After you've chosen your preferred GMAT prep class, you need to start creating a daily schedule in which you will have to study at least 2 hours per day.
Finally, I would like to emphasize that picking out a good GMAT prep class is important, but most importantly are personal ambition, and the desire to succeed.","I'm looking for information to help me prepare for the
  GMAT exam.",gmat prep classes,,,
ObjectId(59f97bcde007d239e50a4fb8),O5TA9W,"A horses's hooves can develop several types of problems. Here are a few of the most common ones.
First is Abscess - an infection of the sensitive tissue of the horse's hoof. Symptoms include the hoof being hot and an increased pulse. The abscess will migrate up the hoof and break out at the coronary band. 
Abscesses can be located with hoof testers. Avoid cutting a large hole in the hoof when pairing or opening the abscess. In most cases, the less hoof removed, the quicker the horse can recover and return to active use.
Another is a hoof crack - a visible vertical crack in the hoof wall. Treatment consists mainly of immobilizing the hoof crack, thus permitting sound hoof wall to grow down from the coronary band.
Last, there is Corns. Corns start out as bruises of the sensitive sole in the angle formed by the hoof wall and bars.","
    Find information about horse hooves, their care, and diseases of hooves.",horse hooves,,,
ObjectId(59f97bcde007d239e50a4fb9),O5TA9W,"GPS (Global Positioning System) receivers have become a mainstay of forestry companies to accurately identify interesting locations. With the use of a GPS receiver it is possible to return to approximately the same location quicker. GPS is also used to layout clearcut harvesting blocks. The whole system of using GPS receivers was created by the US military to allow for high precision locating of people and equipment. This is done using 24 satellites that are orbiting the world, generally in equatorial orbits. The location of the GPS receiver is determined through the distance the receiver is from a number of satellites, through a process called triangulation.
With all the information collected for the comparison of GPS receiving units it is also possible to compare the type of correction used.
The testing of the GPS receivers had mistakes. Therefore the testing of GPS receivers should be made in a controlled enviroment.","I'm looking for information about and comparisons of
  GPS receivers.",gps,,,
ObjectId(59f97bcde007d239e50a4fba),RG9N1V,"In our top five best long term care insurance plans review, we consider the companies in America. It was  hard choosing  the best list,  it took us quite a long time to complete. To accomplish this list we had to use strict terms and rules in order to decide which care insurance plans will give you highest value.

This review include all of the insurance companies in the area, considering which are the top five companies was quite easy, yet ranking between those insurance companies was quite hard. we did our best in this list, but remember that not all of care insurances which are best for another are good for you too.  
AIG  This insurance company is probably the best for you with 4.4 out of 5 score.
Liberty Mutual scored second in care plan with 4.2.
AAA  with 4.1","
    What are the different types of long term care insurance policies?",best long term care insurance,,,
ObjectId(59f97bcde007d239e50a4fbb),RG9N1V,"Good pressure washers are hard to find, but you can check out our top 10 pressure washers for 2017. You can buy them from our online shop with best deals, sales and cheapest prices. We bring them to you  in a range of different sizes, configurations, horsepower, PSI (pressure for square inch) and GPM from various manufactures of washers like Simpson, Generac, Ryobi, DeWalt and Sun Joe.

We know your wife put a lot of  pressure on you to buy a washer so let's go to our list:
Simpson MegaShot 3100 PSI 2.5 GPM Honda GCV190 Powered Gas Power Cleane At a manufacturers suggested retail price of 399$
Generac OneWash 2000 to 3100 PSI 2.4 GPM 196cc Gas Power Washer. It allows you to adjust the pressure to 4 settings between 2,000 and 3,100 PSI","
    Where can I buy replacement parts for pressure washers?",pressure washers,,,
ObjectId(59f97bcde007d239e50a4fbc),RG9N1V,"computer programming (often shortened to programming) is a process that leads from an original formulation of a computing problem to executable computer programs. Programming involves activities such as analysis, developing understanding, generating algorithms, , and implementation (coding) of algorithms in a target programming language. Source code is written in one or more programming languages. The purpose of programming is to find a sequence of instructions that will automate performing a specific task or solving a given problem. The process of programming thus often requires expertise in many different subjects, including knowledge of the application domain, specialized algorithms, and formal logic. 

computer programing can be done in a many languages such as C, C++, Java, Ruby, Python and more, this languages are then go through a complier which translate them to assmbly or machine language (binary) .  

","
    What type of careers are there for computer programmers?",computer programming,,,
ObjectId(59f97bcde007d239e50a4fbd),M1HVGL,"Looking for Internet service on the cheap? These days internet is a product everyone wants but it can be expensive... But there are few ways you can reduce the cost. Buy your own modem or router that can be modified for an easier access at home. Also, using detectors to find your speed limit before purchasing internet services you can't enjoy of. But most importantly, always remember to compare prices between different providers so you will be enjoying your web surfing at the cheapest cost!",I'm looking for cheap (i.e. low-cost) internet service.,cheap internet,,,
ObjectId(59f97bcde007d239e50a4fbe),M1HVGL,"Elliptical trainer or cross-trainer is a stationary exercise machine used to simulate stair climbing, walking, or running without causing excessive pressure to the joints, hence decreasing the risk of impact injuries.
When working out on the elliptical trainers, you can vary from light to high intensity based on the exercise's speed or the resistance you prefer! So go out and buy your trainer! There is a wide variety of elliptical trainers at the stores or online.",Find information about elliptical trainer machines.,elliptical trainer,,,
ObjectId(59f97bcde007d239e50a4fbf),M1HVGL,"Hobby stores usually specialize in modelling, craft supplies and many other used for arts. Some hobby shops sell R/C cars, boats, and model or remote control planes. At our hobby center we offer arts and crafts stores, party and home supplies. Visit us in person or online for a wide selection of products and hobby supplies!","
     What hobby stores carry trains?",hobby stores,,,
ObjectId(59f97bcde007d239e50a4fc0),YHSRWR,"The elliptical trainer or cross-trainer is an exercise machine that combines the motion of stair-stepping with cross-country skiing, providing a low-impact aerobic workout.
This training device is also called: X-trainer.
Many elliptical trainers use alternating push/pull resistance bars to add an upperbody workout as you stride. The pedals can be reversed, which not only works the muscles in a different manner but allows variation in your workout. There are two main types of elliptical trainer machines: rear-drive and frontdrive. Rear-drive units enable an elliptical movement of the pedals and include an adjustable incline ramp at the front of the machine. A front-drive elliptical trainer machine needs to use articulating pedals in order to match a natural stride and lacks the adjustable ramp of a rear-drive unit. Most users tend to prefer rear-drive elliptical trainer machines. The primary advantage of a front-drive machine is
the cost.
",Find information about elliptical trainer machines.,elliptical trainer,,,
ObjectId(59f97bcde007d239e50a4fc1),YHSRWR,"Dieting is the practice of eating food in a regulated way to decrease, maintain, or increase body weight or body fat. A restricted diet is often used by overweight or obese people, sometimes in combination with physical exercise, to reduce body weight. Dieting should be done by boosting your metabolism, burning calories by making sport activities such as aerobic exercises and eating balanced meals with few fats and carbohydrates but with lots of proteins, vegetables and legumes. In the internet there are recipes for low fat food. In particular, diets can be designed to prevent or treat diabetes. Discuss weight loss with your doctor and decide a goal. Diets to promote weight loss can be categorized as: low-fat, low-carbohydrate, low-calorie and more recently flexible dieting. Check your Body Mass Index (BMI) - indicator of body fat and Remember that even a small amount of weight loss can lead to big health.","
    Find ""reasonable"" dieting advice, that is not fads or medications
    but reasonable methods for weight loss.",dieting,,,
ObjectId(59f97bcde007d239e50a4fc2),YHSRWR,"This is a list of notable photovoltaics companies. During 2007, investment in new solar photovoltaic manufacturing facilities was strong in Europe, Japan, China, Taiwan and the United States, with many new operations reported. Since October 2009, the Canadian province of Ontario has had vast success with the implementation of their systems. ","Find information about solar panels and companies that
  manufacture them.",solar panels,,,
ObjectId(59f97bcde007d239e50a4fc3),6FQC0C,"This is a list of hobby shops in the United States which are known to carry model railroad equipment. You can find the hobby shops sorted by states and Zip Code, you can even see the shops on a map and create an itinerary. You can access every hobby shop's website or e-mail thanks to html pointers. This version of the list is in one part; a two part version is also available on this site in case this one chokes your reader.
We try to keep this list up to date, but you should always call or email ahead before you make a trip! If you want to share your knowledge about model train, help us keep this list up to date, we will be grateful. And never forget one model train shop may be hiding another.  

","
     What hobby stores carry trains?",hobby stores,,,
ObjectId(59f97bcde007d239e50a4fc4),6FQC0C,"Have you ever wanted to create your own clothes? To wear clothes nobody has ? Then let's sew - there are two main ways to thread your hand sewing needle and both are good for different techniques: 
Single thread: thread your needle but knot only one end so that the other is free to come unthreaded - this is especially useful for embroidery techniques where you might need to quickly and easily unpick a few stitches.
Double thread: thread your needle and knot both ends together - the doubled up thread will make for a more secure stitch, but is impossible to unpick without cutting the thread and starting over!
Good for gathering or ruching fabric to make gathered skirts, basting seams and stay stitching a curved edge to prevent it from stretching. A running stitch looks exactly the same on both sides of the fabric. 
","
    Find beginners instructions to sewing, both by hand and by machine.",sewing instructions,,,
ObjectId(59f97bcde007d239e50a4fc5),6FQC0C,"There exist several different long term care insurance policies. Supportive housing programs offer low-cost housing to older people with low to moderate incomes. The Federal Department of Housing and Urban Development (HUD) and State or local governments often develop such housing programs. A number of these facilities offer help with meals and tasks such as housekeeping, shopping, and laundry. Residents generally live in their own apartments. Continuing care retirement communities (CCRCs) provide a full range of services and care based on what each resident needs over time. Care usually is provided in one of three main stages: independent living, assisted living, and skilled nursing. Nursing homes offer care to people who cannot be cared for at home or in the community. They provide skilled nursing care, rehabilitation services, meals, activities, help with daily living, and supervision. Many nursing homes also offer temporary or periodic care. 
","
    What are the different types of long term care insurance policies?",best long term care insurance,,,
ObjectId(59f97bcde007d239e50a4fc6),TJBYUD,"Supportive housing programs offer low-cost housing to older people with low to moderate incomes. The Federal Department of Housing and Urban Development (HUD) and State or local governments often develop such housing programs. A number of these facilities offer help with meals and tasks such as housekeeping, shopping, and laundry. Residents generally live in their own apartments.
Continuing care retirement communities (CCRCs) provide a full range of services and care based on what each resident needs over time. Care usually is provided in one of three main stages: independent living, assisted living, and skilled nursing.
Nursing homes offer care to people who cannot be cared for at home or in the community. They provide skilled nursing care, rehabilitation services, meals, activities, help with daily living, and supervision. Many nursing homes also offer temporary or periodic care. 
","
    What are the different types of long term care insurance policies?",best long term care insurance,,,
ObjectId(59f97bcde007d239e50a4fc7),TJBYUD,"
ITP:
ITP stands for Internet Telephone Provider, and their name reflects the fact that they offer no-nonsense Internet phone service. They earn the #1 slot on this list not just because they offer unlimited calling nationwide with their phone service, but they also give new customers 2 months of free calling as part of their special Fall sale. At only $8.32 monthly, this deal even includes a free mobile VoIP app for smartphones for all-inclusive VoIP service.
Phone Power:
Phone Power's service is a little cheaper at only $5.99 monthly, and includes 60 minutes of free International calling to over 75 countries. Even when the hour is up, International rates with PhonePower are still cheaper than the per-minute rate most traditional phone providers charge for even local calls. 
","
    What is the best internet phone service?",internet phone service,,,
ObjectId(59f97bcde007d239e50a4fc8),TJBYUD,"
First things first - there are two main ways to thread your hand sewing needle and both are good for different techniques: 
Single thread: thread your needle but knot only one end so that the other is free to come unthreaded - this is especially useful for embroidery techniques where you might need to quickly and easily unpick a few stitches.
Double thread: thread your needle and knot both ends together - the doubled up thread will make for a more secure stitch, but is impossible to unpick without cutting the thread and starting over!
Good for gathering or ruching fabric to make gathered skirts, basting seams and stay stitching a curved edge to prevent it from stretching. A running stitch looks exactly the same on both sides of the fabric.
","
    Find beginners instructions to sewing, both by hand and by machine.",sewing instructions,,,
ObjectId(59f97bcde007d239e50a4fc9),QC0UHH,"you already know it. your parents have warned you. ""online poker is dangerous, you will lose your money"", they say. ""dude, i won this tournament and scored 3 grand"", your friends will say at the other hand. it's addicting, and all of your friends play it, so why don't you join in a simple game of cards? who doesn't know how to play poker? you, probably, since you rounded up here. and we have the solution. we will teach you the basics of poker. for free, just play a 5 minute video and you can win it all. then you can start competing online. as a return for teaching you, we will be paid 10 percent of any reward you get from winning tournaments. also, for every lost competition, you will pay us 1 dollar as we don't train losers. do we have a dealer?","I want to find information about live and online poker
  tournaments.",poker tournaments,,,
ObjectId(59f97bcde007d239e50a4fca),QC0UHH,"as if building your own house from scratch wasn't enough. you are proud of your work but you want to make it better by yourself, and you are annoyed by the neighbors and their pets invading your own garden. you can do it all with a simple do it all with our simple do it yourself fence kit, so simple even a child could assemble it on his own. we provide multiple kinds of fences: colorful, plain white, with decorations - any background you'd like to enclose your back yard. take a day off, bring your kids to our store and get the fence kit for a a day of fun and usefulness for years to come, as our fences last a lifetime. we furthermore encourage all of you who are not outdoor enthusiastic, to go and build as much as possible at your home garden, as researches showed that diy activities help building your confidence.","
    How do I go about building a fence myself?",build fence,,,
ObjectId(59f97bcde007d239e50a4fcb),QC0UHH,"welcome to our university's gmat preparation course. in this course we will exercise the skills required for taking, and successfully passing with a good score, the gmat exam. so brace yourselves, and get ready to being the next best student in our studying programs, starting as soon as the class of 18'. 
for starters, you are all required to register to the closest gmat exam available at your region. this is a mandatory requirement for this course, as the studying and preparing will be meaningless without actually taking the exam. also note that if you have taken gmat - alike exams somewhere else you may be able to use the score you achieved in that exam, subject to an appropriate approval.
okay, so now we have gone through the prerequisites, and we are all set to start the first class. are you ready? here we go!","I'm looking for information to help me prepare for the
  GMAT exam.",gmat prep classes,,,
ObjectId(59f97bcde007d239e50a4fcc),H25LL9,"Computer programming (often shortened to programming) is a process that leads from an original formulation of a computing problem to executable computer programs. Programming involves activities such as analysis, developing understanding, generating algorithms, verification of requirements of algorithms including their correctness and resources consumption, and implementation (commonly referred to as coding) of algorithms in a target programming language. Source code is written in one or more programming languages. The purpose of programming is to find a sequence of instructions that will automate performing a specific task or solving a given problem. The process of programming thus often requires expertise in many different subjects, including knowledge of the application domain, specialized algorithms, and formal logic.
Computer programmers have a full understanding of the how and why of computer systems, including system limitations, and can set realistic expectations and work around those limitations to fully maximize the use of the equipment and its accessories.","
    What type of careers are there for computer programmers?",computer programming,,,
ObjectId(59f97bcde007d239e50a4fcd),H25LL9,"Looking for cheap or free Internet access? You can look for deals from the major internet service providers, like Comcast's recent roll-out of discount service for low-income families, but keep in mind that you may not qualify under the terms of such programs.
Never fear -  there are still plenty of options for low-priced and even free Internet service available to all comers. 
For example, NetZero now have DSL plans for only 10$ per month with no data restrictions, provided you live in their service areas. 
Another strategy to get cheaper high-speed Internet is to get bundle package with your TV and/or phone service. if, however, you can't find a high speed service that fits your budget, consider getting  dial up Internet. NetZero again provides some very inexpensive dial up services running 5$ per month.",I'm looking for cheap (i.e. low-cost) internet service.,cheap internet,,,
ObjectId(59f97bcde007d239e50a4fce),H25LL9,"Sony's PlayStation 2 is one of the greatest video game consoles of all time. Not only has it built up a tremendous library of software over the years, but it's also sold more than 145 million units worldwide -- more than any other console to date.
2010 marks the 10-year anniversary of the PS2's launch, so what better way to celebrate the beloved console than to look back at all the great games we've enjoyed on the system? The PlayStation 2 had it all: shooters, fighters, racers, and role-playing games -- no genre went unloved during the PS2's brilliant life. We've taken the time to rank the top 100 games on the PlayStation 2, no small feat considering how many fantastic titles are out there. Only a few editors were injured in the process, but the sacrifice was well worth it.
Read on to uncover the finest gems of the PS2's library.","Find information, reviews, and cheat codes for
  Playstation 2 games.",ps 2 games,,,
ObjectId(59f97bcde007d239e50a4fcf),413CV9,"Looking to furnish your tiny studio apartment ? No problem!
We at Compact Furniture Inc. have the best quality, most practical, efficient and beautifully designed space saving furnishing solutions for you!
You are invited to select from our wide range of furniture items, including: beds, couches, sofas, tables, chairs, cabinets and dressers, all in one store and in compact sizes, to fit perfectly for your limited apartment space and urban lifestyle.
We also offer professional consultation services, where you can book an appointment with one of our top designers, to come to your apartment and compose an offer tailored to your taste, needs and available living space.
Feel free to visit our Facebook page anytime, to post your own smart furnishing tips and tricks or get inspired by others ideas!","
    What are some small space decorating dos and don'ts?",furniture small spaces,,,
ObjectId(59f97bcde007d239e50a4fd0),413CV9,"Looking for low-cost internet services ? Is your ISP overcharging you ?
We, at BestNet Internet Solutions Inc. have exactly what you need to cut down on your costs!
We offer great low-budget DSL broadband internet connection packages at competitive prices - as low as $5 a month! 
We also offer our new customers free installation and will match any cheaper offer you get elsewhere.
With our exceptional customer service, great speed, reliable connection at low prices, we guarantee to offer the best deal for internet services out there!
Join us now, and get your first month free!",I'm looking for cheap (i.e. low-cost) internet service.,cheap internet,,,
ObjectId(59f97bcde007d239e50a4fd1),413CV9,"Vintage Garage Inc. offers professional mechanical services for Honda and Toyota vehicles in addition to an automobile spare parts shop.
Come in for your annual maintenance service, a quick repair or if you would like to replace an old or defective part in your car, we have everything you need!
You are also invited to visit our website and search our extensive spare parts online catalog, to find the exact part you need for your car, so we could order it for you in advance. 
We also buy and sell used car parts from different manufacturers including: Toyota, Honda, Volkswagen, BMW, Audi and others, if you are really tight on budget, a car dealer or simply an automobile enthusiast.
Come on in and let us take care of all your automotive needs!","I am looking for sources for parts for cars, preferably
  used.",car parts,,,
ObjectId(59f97bcde007d239e50a4fd2),AKQHO6,"Global Positioning System i.e GPS is a ""constellation"" of approximately 30 satellites that orbit the Earth and make it possible for people with ground receivers to pinpoint their geographic location. Garmin path finders and Google maps navigation apps use high precision and accuracy of the current global positioning systems (GPS) receivers. Those GPS receivers, are also used today for data collection and integration within a geographic information system (GIS). Ordinarily, different GPS devices offer different layouts of maps for locations worldwide. Overall, the Garmin GPS receivers are more accurate than the Android navigation devices, Specifically, where sub-meter accuracy is required. Nevertheless, the mobile navigation applications are sufficient as everyday life GPS receivers.","I'm looking for information about and comparisons of
  GPS receivers.",gps,,,
ObjectId(59f97bcde007d239e50a4fd3),AKQHO6,"The Car-Parts website is the fastest way to search thousands of auto recycler's inventories to find the part you need. There is a million of inventoried parts in the Car-Parts database, stored by car id's. Moreover see our list of automotive parts for vehicles using internal combustion engines, which are manufactured components of automobiles. Better than searching for replacement parts, just use our part finder feature for results. Simply select your vehicle on our drop down list, and you'll get results for your ride. All of our recycled car parts are tested and covered by our guarantee. This covers used engines, batteries or any other car part, for your transport or any damage-repairable vehicles that you may purchase. We currently house 2,000 salvage cars suitable for car parts breaking, ranging from Ford to Porsche. To contact us simply Phone our used car parts sales on *1844","I am looking for sources for parts for cars, preferably
  used.",car parts,,,
ObjectId(59f97bcde007d239e50a4fd4),AKQHO6,"Is a small Condo means choosing functionality over design when buying new furnitures?
Not necessarily, with those design tips you can maximise even extra small spaces.
Although space is often sacrificed in urban living, a ton of square footage isn't a requirement for a well designed home. A little planning of the acquired furnitures can go a long way in the design of a small space apartment. Prefer small furnitures over big ones and avoid rushing out to a single furnitures store to buy things just to fill the space.
Don't feel like you have to go out and buy everything at once, oftentimes the space will end up looking more like a catalogue than a home.
Instead take your time in selecting small pieces at a time to complete this puzzle.","
    What are some small space decorating dos and don'ts?",furniture small spaces,,,
ObjectId(59f97bcde007d239e50a4fd5),5WM9S0,"Everything you need to know about horse hooves: A horses's hooves can develop several types of problems. Here are the most common ones. First is Abscess, an infection of the sensitive tissue of the horse's hoof. Symptoms include the hoof being hot and an increased pulse. The abscess will migrate up the hoof and break out at the coronary band. Abscesses can be located with hoof testers. Avoid cutting a large hole in the hoof when pairing or opening the abscess. In most cases, the less hoof removed, the quicker the horse can recover and return to active use. Another is hoof crack, a visible vertical crack in the hoof wall. Treatment consists mainly of immobilizing the hoof crack, thus permitting sound hoof wall to grow down from the coronary band. Last are Corns. Corns start out as bruises of the sensitive sole in the angle formed by the hoof wall and bars.","
    Find information about horse hooves, their care, and diseases of hooves.",horse hooves,,,
ObjectId(59f97bcde007d239e50a4fd6),5WM9S0,"DIY of the day: how to build a fence easily!
Today we present a complete guide on how to build a fence, and reshape the face of your house and garden with style. preparation: research the fencing guidelines in your area and make sureyou have a building permit. in order to build a strong fence, we first need to get high quality wood, 1.5 inches nails, a hammer, a saw a wood paint of favorite color. place a wood stump on a waist-high block, or any other elevated plateau which will be convenient to saw on. Saw the fences pieces, 50 inches high and 6 inches wide. stick the fence pieces you sawed in the ground, and 5 inches away from each other. Using nails, connect every 5 pieces with another 2 pieces perpendicularly. paint your brand new and easily built fence.","
    How do I go about building a fence myself?",build fence,,,
ObjectId(59f97bcde007d239e50a4fd7),5WM9S0,"The Bowflex Power Pro Home Gym is a very popular piece of home workout equipment and is a longtime leader in the home fitness industry. Bowflex uses long bending rods instead of weights to add resistance to exercise and the Power Pro is a great example of this equipment. As stated by Boflex users: I have used treadmills and ellipticals and this is by far the best workout of them all. You will feel it within the first few minutes."" In the beginning of using the Bowflex Power Pro Home Gym it would be a good idea to concentrate on doing just a few compound exercises for three sets each. The goal of doing the compound exercises on the Bowflex Power Pro is that you will gain muscle mass and increase your power faster. Remember: if you want to become a pro, you need to have the power of a pro, and you need the Bowflex Power Pro.","
    Find information about the Bowflex Power Pro.",bowflex power pro,,,
ObjectId(59f97bcde007d239e50a4fd8),VAX5JH,"
 Get your game on at French Lick Casino, a 51,000-square-foot Vegas-style gaming facility all on one floor with soaring 27-foot ceilings. On our gaming floor, you can play to win a brand new car on slot machines or a progressive jackpot at our table games. You’ll find live-action blackjack, roulette and craps and other table games, a luxurious high-limit room and Indiana’s largest non-smoking room. Bring a group of friends and enjoy live entertainment, DJs and Promotions in our spacious entertainment lounge. Here’s a little of what you’ll find at the French Lick Casino: 1,000 new and classic Slots, video poker, progressive jackpots and video keno of all denominations and themes. 37 table games featuring Blackjack, Craps, Roulette, Ultimate Texas Hold'em, 3-Card Poker, Mini-Baccarat and more. A 9,500 square foot unparalleled non-smoking gaming room with live table games and 250 of the latest slots.

","Find information on French Lick Resort and Casino in
  Indiana.",french lick resort casino,,,
ObjectId(59f97bcde007d239e50a4fd9),VAX5JH,"Learn to Sew gives you full step-by-step instructions for full free 17 projects to teach you the ins and outs of sewing. Learn basic hand-sewing stitches, how to thread a machine, and the basics for making your own clothes! All projects come from Instructables.com, are written by sewing experts, and contain pictures for each step so you can do it yourself.
Stitch happy - For Free !","
    Find beginners instructions to sewing, both by hand and by machine.",sewing instructions,,,
ObjectId(59f97bcde007d239e50a4fda),VAX5JH,"""Poop Freeze"" - the Alternative option to dog waste.
Nobody likes to touch his pet waste, especially if it is unsolid. ""Poop Freeze"" gives you quick and cheap way to make it a bit better.
This product is a metal spray easy to use - jusy spray it on the waste which becomes solid in seconds. Quick demonstration :
https://www.youtube.com/watch?v=73aL_4idVms
Order you products now: Call 1-844-433-3084 or click here to SAVE!

The project is authorized by FAO, FDA and protected by patent no RE46,601.
Tags: #POOP-FREEZE Aerosol Freeze Spray (10 oz)  #Pets","
     Can I order dog clean-up bags online?",dog clean bags,,,
